,Name,Brewer,Ratings,Review,Style,ABV,Smell,Feel
10,Black Widow Porter,McMenamins,3.82,I had this beer on-tap in a pint glass at McMenamins Six Arms in Seattle.,American Porter,7.35,3.25,3.5
11,Skoll Session Milk Stout,Blood Brothers Brewing,3.73,"Slightly sour light stout. Bottle from the brewery. Brown, malty aroma. Interesting take on the style if you like a little sourness. Ok drinkability.",Milk,4.50,3.75,3.5
12,AleSmith Speedway Stout - Vietnamese Coffee,AleSmith Brewing Company,4.44,"had this fresh on tap at the mule bar. excellent looking brew, tons of lacing decorates the glass. thie brew is hugely coffee forward with dark malts ad chocolate playing supporting roles, the intense roastyness is really really pleasant. hint of booze coming through is excellent. smooth smooth chewy mouthfeel,",American Double,12.00,4.5,4.75
13,Arcadia Imperial Stout,Arcadia Brewing Company,3.83,"12oz bottle, no date. Pours mostly black with a medium sized khaki head. Smells of roasted malt, molasses, earthy hops, dark fruit, cocoa, and some char; below average intensity. The taste follows with roasted malt, molasses, cocoa, earthy hops, dark fruit, and char; below average intensity again but only a little alcohol comes though. Moderate bitterness and dryness with subtle sweetness. Average carbonation and body for the style. Overall, the smell/flavor has a somewhat complex and lightly bitter profile, but really needs more intensity. Worth a try, but don't expect a 'big beer.'",Russian Imperial Stout,9.00,4.0,4.0
14,Pecan Pie Porter (2016),Clown Shoes,3.94,"22oz bottle - another year, another new variant on this holiday-themed tipple.",American Porter,8.50,3.75,4.0
15,Ardenne Stout,Brasserie De Bastogne,4.11,"Thin head, fairly strong, almost tastes barrel aged. Dark brown more than black, smell is of bourbon, and mouthfeel is a bit thin, with very little carbonation.",Russian Imperial Stout,8.00,4.5,4.25
16,Oso Bueno,11 Below Brewing,3.67,12oz can poured into a pint glass. Date of 10/07/16.,American Amber,5.30,3.75,4.25
17,Velvet Merlin,Firestone Walker Brewing Co.,3.98,"12oz bottle, dated 10/5/16. Pours somewhat hazy reddish brown with a large sized khaki head; some lacing. Smells of roasted malt, cocoa, coffee, caramel, and oats. The taste follows closely with roasted malt, cocoa, oats, caramel, and earthy/woody hops. Medium bitterness and some noticeable but subtle tartness. Average carbonation and somewhat thin body for the style. Overall, this is a fairly good Oatmeal Stout with a nice smell, but it could use more intensity and body.",Oatmeal Stout,5.50,4.25,3.75
18,Half Hitch,Crux Fermentation Project,4.16,"Schwing! Beautifully crafted DIPA, rich and flavorful without being overpowering. Amber with nice tight creamy head, light syrupy, hop nose, malt and hops blend perfectly in the flavor, more smoothness on the finish. Awesome!",American Double,10.00,4.0,4.0
19,Heady Topper,The Alchemist,4.66,"Seriously amazing. I was surprised at how smooth and drinkable this beer truly was. I will absolutely seek out again. One thing I did pick up was a faint cucumber taste, but holy cow this thing is amazing.",American Double,8.00,5.0,4.75
20,Bitter Chocolate Oakmeal Bourbon Barrel Stout,Stone Brewing,4.13,500ml cork & cage bottle poured into a snifter,Oatmeal Stout,11.40,4.0,4.0
21,Yuzu Fierce,Off Color Brewing,4.12,"Pours a semi-cloudy pale gold with almost a finger of fizzy head and ample carbonation. Aromas of tart citrus(a Yuzu fruit characteristic), raw grains, wheat, bread and a touch of light floral. Taste goes along with what you would expect from the aroma with a crisp, tart citrus flavor, limes. Mouthfeel is clean and crisp and reminds me of lemon-lime soda and underripe fruit, but in a good way. Finish is clean with just a bit of lingering tartness and evervessence",Berliner Weissbier,3.80,4.0,4.25
